Date,Open,High,Low,Close,Volume
1996-01-01,15.86,15.94,15.75,15.92,48051995
1996-01-02,15.88,15.96,15.68,15.79,77875009
1996-01-03,16.05,16.78,15.88,15.91,96602936
1996-01-04,15.76,15.81,15.55,15.77,100099436
1996-01-05,15.7,15.7,15.52,15.66,76935930
1996-01-08,15.63,15.64,14.88,15.03,86288584
1996-01-09,14.59,14.85,14.1,14.6,179415702
1996-01-10,14.31,14.66,14.16,14.22,127653926
1996-01-11,14.08,14.74,14.06,14.67,189051436
1996-01-12,14.78,14.89,14.42,14.51,172918416
1996-01-15,14.47,14.54,14.28,14.36,92291448
1996-01-16,14.31,14.47,14.27,14.39,100259719
1996-01-17,14.31,14.33,13.7,13.82,138279150
1996-01-18,13.47,13.69,13.29,13.43,174217485
1996-01-19,13.25,13.41,13.11,13.2,149773006
1996-01-22,13.24,13.6,13.23,13.42,156270292
1996-01-23,13.47,13.53,12.15,12.85,163795200
1996-01-24,12.74,12.82,12.22,12.41,162072156
1996-01-25,12.39,12.44,11.82,11.89,166534879
1996-01-26,11.89,11.89,11.89,11.89,0
1996-01-29,11.84,12.94,11.76,12.83,301314299
1996-01-30,13.23,14.62,13.04,13.98,490083300
1996-01-31,13.85,14.37,13.33,13.67,337615209
1996-02-01,13.54,14.31,13.5,14.22,295555091
1996-02-02,14.6,15.94,14.6,15.77,377841766
1996-02-05,16.63,17.42,16.13,17.08,564175497
1996-02-06,17.49,17.79,15.29,15.65,573328443
1996-02-07,14.78,16.09,14.63,15.94,413246254
1996-02-08,16.1,17.61,15.94,17.33,379193186
1996-02-09,17.95,18.72,17.34,18.34,458934072
1996-02-12,17.87,18.18,16.94,17.19,448392867
1996-02-13,17.02,18.89,16.87,18.22,470284449
1996-02-14,18.68,18.95,18.09,18.23,287264960
1996-02-15,17.79,18.37,17.64,17.94,322651352
1996-02-16,17.64,17.81,17.49,17.62,228740914
1996-02-19,17.95,18.2,17.7,17.8,239163846
1996-02-20,17.79,17.87,16.63,16.86,294959199
1996-02-21,16.86,16.86,16.86,16.86,0
1996-02-22,17.25,17.87,17.1,17.75,283157057
1996-02-23,17.72,17.75,17.27,17.56,252022694
1996-02-26,17.75,18.12,17.49,17.6,251499188
1996-02-27,17.7,17.79,17.1,17.4,250359756
1996-02-28,17.74,17.93,17.45,17.48,197441744
1996-02-29,17.33,17.39,16.28,16.39,322080020
1996-03-01,16.52,16.73,16.13,16.48,333743853
1996-03-04,16.56,16.63,16.12,16.31,310777470
1996-03-05,16.31,16.31,16.31,16.31,0
1996-03-06,16.59,17.0,16.45,16.89,250989255
1996-03-07,17.13,17.43,16.96,17.04,394310217
1996-03-08,16.83,17.02,16.61,16.95,298510635
1996-03-11,16.71,17.06,16.64,17.01,291248773
1996-03-12,16.98,18.41,16.9,17.88,370589598
1996-03-13,17.41,17.66,17.19,17.58,266615573
1996-03-14,17.56,17.75,17.45,17.57,275797603
1996-03-15,17.48,17.53,16.87,17.0,287257851
1996-03-18,16.82,16.87,16.16,16.22,307967990
1996-03-19,16.17,16.46,14.89,15.23,478710303
1996-03-20,15.23,15.23,15.23,15.23,0
1996-03-21,15.86,16.49,15.86,16.32,309417002
1996-03-22,16.01,16.01,15.36,15.65,311431529
1996-03-25,15.86,15.94,15.34,15.56,210982442
1996-03-26,15.47,15.78,14.97,15.46,245693447
1996-03-27,16.01,16.24,15.94,16.01,174091456
1996-03-28,16.05,16.3,16.0,16.22,165867248
1996-03-29,16.2,16.3,15.95,16.0,150429650
1996-04-01,16.07,16.21,15.94,16.15,114225685
1996-04-02,16.19,16.4,16.03,16.2,169566688
1996-04-03,16.56,16.74,16.29,16.33,137080258
1996-04-04,16.17,16.19,15.97,16.14,111609450
1996-04-05,16.14,16.14,16.14,16.14,0
1996-04-08,16.34,16.49,16.24,16.41,105272447
1996-04-09,16.61,16.8,16.34,16.43,147764942
1996-04-10,16.63,16.71,16.35,16.42,131575048
1996-04-11,16.27,16.36,16.16,16.25,99907484
1996-04-12,16.25,16.83,16.18,16.69,157421358
1996-04-15,17.02,17.46,16.99,17.12,219956361
1996-04-16,17.17,17.39,17.02,17.16,179494551
1996-04-17,17.64,18.08,17.47,17.89,189218828
1996-04-18,18.45,18.97,18.31,18.88,316699546
1996-04-19,19.03,19.38,18.84,19.0,303633881
1996-04-22,19.19,19.22,18.3,18.39,266680850
1996-04-23,18.22,18.47,17.99,18.27,263173363
1996-04-24,19.12,19.97,19.05,19.75,246856146
1996-04-25,19.88,20.31,18.41,18.75,286231521
1996-04-26,18.72,19.14,18.26,18.91,291913819
1996-04-29,18.72,18.82,18.39,18.76,194330440
1996-04-30,18.72,19.34,18.61,18.93,198150092
1996-05-01,20.66,20.88,20.44,20.58,228659480
1996-05-02,20.42,20.7,20.11,20.6,233965629
1996-05-03,20.42,20.54,20.04,20.13,227763058
1996-05-06,19.65,19.76,18.9,19.0,272775489
1996-05-07,18.97,19.38,18.9,19.23,253182808
1996-05-08,18.88,19.61,18.64,19.34,362581901
1996-05-09,18.97,19.37,18.76,18.86,281236890
1996-05-10,18.41,18.77,18.3,18.67,279802097
1996-05-13,18.92,19.18,18.81,19.06,183848049
1996-05-14,19.03,19.72,18.93,19.59,300443728
1996-05-15,19.28,19.8,18.88,19.63,423307256
1996-05-16,19.86,20.15,19.62,19.75,317762715
1996-05-17,19.34,19.57,19.25,19.36,260880925
1996-05-20,19.11,19.14,18.69,18.75,150502036
1996-05-21,18.64,18.88,18.53,18.68,210555235
1996-05-22,18.88,18.97,18.73,18.78,147373929
1996-05-23,18.66,18.74,18.54,18.63,135998347
1996-05-24,18.81,18.86,18.71,18.8,109273710
1996-05-27,18.64,18.64,18.22,18.25,178076562
1996-05-28,17.87,17.87,17.45,17.66,251769989
1996-05-29,18.03,18.92,18.03,18.66,237508017
1996-05-30,18.8,18.85,18.2,18.32,243719637
1996-05-31,18.59,18.61,18.27,18.44,205805553
1996-06-03,18.8,19.07,18.68,19.0,225656109
1996-06-04,19.34,19.45,18.39,18.73,331911584
1996-06-05,18.95,18.95,18.45,18.61,154048948
1996-06-06,18.87,19.26,18.8,18.92,152774438
1996-06-07,18.65,18.99,18.63,18.9,103358097
1996-06-10,18.84,18.92,18.64,18.73,83777696
1996-06-11,18.64,18.76,18.48,18.59,113388076
1996-06-12,18.88,19.07,18.73,18.87,92464011
1996-06-13,18.84,18.94,18.73,18.8,53970839
1996-06-14,18.88,19.03,18.81,18.99,56612280
1996-06-17,19.05,19.05,18.69,18.73,49769869
1996-06-18,18.64,18.64,18.03,18.25,88215860
1996-06-19,18.26,18.34,17.57,17.71,110408618
1996-06-20,17.56,17.81,17.37,17.74,131363060
1996-06-21,17.63,17.75,17.14,17.24,162938202
1996-06-24,17.1,17.25,16.83,17.1,141955323
1996-06-25,17.17,17.25,16.4,16.74,161155698
1996-06-26,16.84,16.84,16.34,16.42,136660807
1996-06-27,16.27,16.87,16.06,16.71,248655454
1996-06-28,16.87,17.16,16.37,16.52,350497324
1996-07-01,16.33,16.84,15.98,16.15,255440991
1996-07-02,16.16,16.32,15.7,15.81,262167715
1996-07-03,15.59,15.62,14.58,14.75,297888892
1996-07-04,14.49,15.15,14.25,14.7,372326861
1996-07-05,14.83,14.97,14.28,14.47,274724739
1996-07-08,14.77,16.01,14.43,14.59,160540417
1996-07-09,14.47,16.01,13.31,13.87,250056639
1996-07-10,13.38,13.92,13.31,13.64,221504258
